,amount,cloud,ticker
2021-07-01,2,0.0,DFI
2021-07-03,2,0.0,DFI
2021-07-04,3,0.0,DFI
2021-07-05,3,0.0,DFI
2021-07-06,3,0.0,DFI
2021-07-07,3,0.0,DFI
2021-07-08,3,0.0,DFI
2021-07-09,3,0.0,DFI
2021-07-10,3,0.0,DFI
2021-07-12,3,0.0,DFI
2021-07-13,3,0.0,DFI
2021-07-14,3,0.0,DFI
2021-07-15,3,0.0,DFI
2021-07-16,3,0.0,DFI
2021-07-17,3,0.0,DFI
2021-07-18,3,0.0,DFI
2021-07-19,3,0.0,DFI
2021-07-20,3,0.0,DFI
2021-07-21,3,0.0,DFI
2021-07-22,3,0.0,DFI
2021-07-23,3,0.0,DFI
2021-07-24,3,0.0,DFI
2021-07-25,3,0.0,DFI
2021-07-26,3,0.0,DFI
2021-07-27,3,0.0,DFI
2021-07-28,3,0.0,DFI
2021-07-29,3,0.0,DFI
2021-07-30,3,0.0,DFI
2021-07-31,3,0.0,DFI
2021-08-01,3,0.0,DFI
2021-08-02,3,0.0,DFI
2021-08-03,3,0.0,DFI
2021-08-04,3,0.0,DFI
2021-08-05,3,0.0,DFI
2021-08-06,3,0.0,DFI
2021-08-07,3,0.0,DFI
2021-08-08,3,0.0,DFI
2021-08-09,3,0.0,DFI
2021-08-10,4,0.0,DFI
2021-08-11,4,0.0,DFI
2021-08-12,4,0.0,DFI
2021-08-13,4,0.0,DFI
2021-08-14,4,0.0,DFI
2021-08-15,4,0.0,DFI
2021-08-16,4,0.0,DFI
2021-08-17,3,0.0,DFI
2021-08-18,3,0.0,DFI
2021-08-19,3,0.0,DFI
2021-08-20,3,0.0,DFI
2021-08-21,3,0.0,DFI
2021-08-22,2,0.0,DFI
2021-08-23,2,0.0,DFI
2021-08-24,2,0.0,DFI
2021-08-25,2,0.0,DFI
2021-08-26,2,0.0,DFI
2021-08-27,2,0.0,DFI
2021-08-29,2,0.0,DFI
2021-08-30,2,0.0,DFI
2021-08-31,2,0.0,DFI
2021-09-01,2,0.0,DFI
2021-09-02,2,0.0,DFI
2021-09-03,2,0.0,DFI
2021-09-04,2,0.0,DFI
2021-09-05,2,0.0,DFI
2021-09-06,2,0.0,DFI
2021-09-07,2,0.0,DFI
2021-09-08,2,0.0,DFI
2021-09-09,2,0.0,DFI
2021-09-10,2,0.0,DFI
2021-09-11,2,0.0,DFI
2021-09-12,2,0.0,DFI
2021-09-13,2,0.0,DFI
2021-09-14,2,0.0,DFI
2021-09-15,2,0.0,DFI
2021-09-16,2,0.0,DFI
2021-09-17,2,0.0,DFI
2021-12-21,2,0.0,DFI
2021-12-21,2,0.0,DFI
2021-12-21,2,0.0,DFI
2022-01-10,2,0.0,DFI
2022-01-10,2,0.0,DFI
2022-01-10,2,0.0,DFI
