,anchor,burned,community,dToken,dex,masternode,total
2021-12-21,0.06096654,35.391074827576745,14.96728488,75.23270688591867,77.57991857,101.60073422,304.83268592349543
2021-12-22,0.06096654,35.391074827576745,14.96728488,75.23270688591867,77.57991857,101.60073422,304.83268592349543
2021-12-23,0.06096654,35.391074827576745,14.96728488,75.23270688591867,77.57991857,101.60073422,304.83268592349543
2021-12-24,0.06096654,35.391074827576745,14.96728488,75.23270688591867,77.57991857,101.60073422,304.83268592349543
2021-12-25,0.06096654,35.391074827576745,14.96728488,75.23270688591867,77.57991857,101.60073422,304.83268592349543
2021-12-26,0.06096654,35.391074827576745,14.96728488,75.23270688591867,77.57991857,101.60073422,304.83268592349543
2021-12-27,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2021-12-28,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2021-12-29,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2021-12-30,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2021-12-31,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2022-01-01,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2022-01-02,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2022-01-03,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2022-01-04,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2022-01-05,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2022-01-06,0.05995571,34.80429081513374,14.7191273,73.98534860575013,76.29364352,99.91619404,299.7785599908839
2022-01-07,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-08,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-09,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-10,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-11,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-12,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-13,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-14,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-15,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-16,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-17,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-18,0.05896165,34.227235670368216,14.47508416,72.7586715258668,75.02869491,98.25958355,294.80823146623504
2022-01-19,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-20,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-21,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-22,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-23,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-24,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-25,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-26,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-27,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-28,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-29,0.05798406,33.65974810655692,14.23508727,71.55233275196792,73.78471915,96.63043965,289.9203109885248
2022-01-30,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-01-31,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-01,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-02,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-03,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-04,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-05,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-06,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-07,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-08,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-09,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-10,0.05702269,33.101669487394815,13.99906952,70.36599507494029,72.5613685,95.02830696,285.1134322323351
2022-02-11,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-12,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-13,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-14,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-15,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-16,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-17,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-18,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-19,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-20,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-21,0.05607725,32.55284380932518,13.76696495,69.1993268765978,71.35830101,93.45273763,280.386251525923
2022-02-22,0.05514749,32.01311765863939,13.53870867,68.0520020369838,70.17518038,91.90329124,275.7374474756232
2022-02-23,0.05514749,32.01311765863939,13.53870867,68.0520020369838,70.17518038,91.90329124,275.7374474756232
2022-02-24,0.05514749,32.01311765863939,13.53870867,68.0520020369838,70.17518038,91.90329124,275.7374474756232
2022-02-25,0.05514749,32.01311765863939,13.53870867,68.0520020369838,70.17518038,91.90329124,275.7374474756232
2022-02-26,0.05514749,32.01311765863939,13.53870867,68.0520020369838,70.17518038,91.90329124,275.7374474756232
