date,user_count,masternode_count,messages_sent,commands_received,minted_blocks
2021-09-02,164,311,5,2,142
2021-09-03,167,314,608,104,142
2021-09-04,167,326,645,117,158
2021-09-05,167,326,680,96,149
2021-09-06,168,328,703,128,150
2021-09-07,170,333,758,155,163
2021-09-08,171,340,780,208,128
2021-09-09,175,354,1053,212,137
2021-09-10,175,353,1001,182,169
2021-09-11,175,354,855,141,146
2021-09-12,175,354,704,122,134
2021-09-13,180,357,785,186,174
2021-09-14,182,360,1020,216,127
2021-09-15,183,363,793,169,145
2021-09-16,187,371,1112,217,128
2021-09-17,192,382,978,246,160
2021-09-18,194,386,862,200,139
2021-09-19,195,390,1024,241,124
2021-09-20,195,397,766,138,130
2021-09-21,195,397,664,115,138
2021-09-22,195,401,679,121,183
2021-09-23,195,402,723,115,141
2021-09-24,197,402,853,119,121
2021-09-25,197,403,893,172,135
2021-09-26,197,407,744,120,172
2021-09-27,198,410,883,141,150
2021-09-28,198,410,615,91,150
2021-09-29,199,411,702,103,158
2021-09-30,199,411,663,104,138
2021-10-01,199,412,646,96,156
2021-10-02,204,417,637,102,133
2021-10-03,208,422,755,151,150
2021-10-04,210,438,881,119,169
2021-10-05,210,441,932,200,164
2021-10-06,210,443,671,97,163
2021-10-07,212,444,552,80,157
2021-10-08,221,449,663,134,177
2021-10-09,221,453,633,85,184
2021-10-10,222,453,577,85,170
2021-10-11,223,457,663,90,169
2021-10-12,224,457,588,99,134
2021-10-13,224,458,853,123,175
2021-10-14,226,459,674,106,171
2021-10-15,226,463,658,74,197
2021-10-16,227,463,606,87,170
2021-10-17,228,466,587,100,160
2021-10-18,228,467,607,83,182
2021-10-19,228,468,643,92,144
2021-10-20,229,469,559,74,169
2021-10-21,229,469,560,122,178
