DateHour,ETHpool_nbTrades,ETHpool_baseDFI,ETHpool_quoteDFI,ETHpool_baseETH,ETHpool_quoteETH,BTCpool_nbTrades,BTCpool_baseDFI,BTCpool_quoteDFI,BTCpool_baseBTC,BTCpool_quoteBTC,USDTpool_nbTrades,USDTpool_baseDFI,USDTpool_quoteDFI,USDTpool_baseUSDT,USDTpool_quoteUSDT,DOGEpool_nbTrades,DOGEpool_baseDFI,DOGEpool_quoteDFI,DOGEpool_baseDOGE,DOGEpool_quoteDOGE,LTCpool_nbTrades,LTCpool_baseLTC,LTCpool_quoteLTC,LTCpool_baseDFI,LTCpool_quoteDFI,BCHpool_nbTrades,BCHpool_baseBCH,BCHpool_quoteBCH,BCHpool_baseDFI,BCHpool_quoteDFI,BTC-USD,ETH-USD,USDT-USD,DOGE-USD,LTC-USD,BCH-USD,DFI-USD,USDCpool_nbTrades,USDCpool_baseDFI,USDCpool_quoteDFI,USDCpool_baseUSDC,USDCpool_quoteUSDC,USDC-USD
2020-11-30 10:00:00+00:00,1.0,10.0,,,0.00801606,1.0,10.0,,,0.00024529,1.0,35.0,,,15.60924311,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 11:00:00+00:00,1.0,2.0,,,0.00160064,2.0,52.0,,,0.00127434,1.0,2.0,,,0.88413076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 12:00:00+00:00,1.0,1000.0,,,0.74148359,2.0,1050.0,,,0.02505839,2.0,110.0,,,47.47708356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 14:00:00+00:00,1.0,100.0,,,0.06814792,4.0,1005.002,,,0.02082202,1.0,100.0,,,38.94032111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 15:00:00+00:00,2.0,150.0,,,0.10036136,5.0,1300.001,,,0.02558899,2.0,101.0,,,37.739076790000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 16:00:00+00:00,1.0,,1206.33420013,0.87678411,,17.0,12192.57540647,14868.884463920002,0.3061635199999999,0.25117019,3.0,7.4,445.81600035,179.65780891,3.26333546,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 17:00:00+00:00,1.0,5.0,,,0.00397081,10.0,1737.41435793,3203.20858814,0.07184,0.0389888,1.0,100.0,,,43.08560628,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 18:00:00+00:00,1.0,0.001,,,7.9e-07,3.0,427.001,,,0.00985906,2.0,419.0,,,170.26807625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 19:00:00+00:00,1.0,1.0,,,0.00079384,4.0,3825.12018654,,,0.08736154,2.0,1.001,,,0.39180723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-30 20:00:00+00:00,3.0,9677.69916912,6.6455679100000005,0.005,7.441457769999999,3.0,34.4,,,0.00077762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
