,buyDUSDFee,interestDUSDLoans,sellDUSDFee,rewardDUSDBurnBot
2022-07-07,0.0,,0.2974,
2022-07-08,0.0,,0.302,
2022-07-09,0.0,,0.3004,
2022-07-10,0.0,,0.2998,
2022-07-11,0.0,,0.2996,
2022-07-12,0.0,,0.2991,
2022-07-13,0.0,,0.2996,
2022-07-14,0.0,,0.2998,
2022-07-15,0.0,,0.3004,
2022-07-16,0.0,,0.3001,
2022-07-17,0.0,,0.3,
2022-07-18,0.0,,0.2982,
2022-07-19,0.0,,0.2987,
2022-07-20,0.0,,0.2988,
2022-07-21,0.0,,0.2975,
2022-07-22,0.0,,0.2958,
2022-07-23,0.0,,0.2945,
2022-07-24,0.0,,0.2929,
2022-07-25,0.0,,0.2924,
2022-07-26,0.0,,0.2925,
2022-07-27,0.0,,0.2927,
2022-07-28,0.0,,0.2941,
2022-07-29,0.0,,0.2946,
2022-07-30,0.0,,0.2943,
2022-07-31,0.0,,0.2928,
2022-08-01,0.0,,0.2927,
2022-08-02,0.0,,0.2921,
2022-08-03,0.0,,0.2924,
2022-08-04,0.0,,0.293,
2022-08-05,0.0,,0.2935,
2022-08-06,0.0,,0.2937,
2022-08-07,0.0,,0.2964,
2022-08-08,0.0,,0.2965,
2022-08-09,0.0,,0.2972,
2022-08-10,0.0,,0.2975,
2022-08-11,0.0,,0.2972,
2022-08-12,0.0,,0.2984,
2022-08-13,0.0,,0.2978,
2022-08-14,0.0,,0.2988,
2022-08-15,0.0,,0.2975,
2022-08-16,0.0,,0.2966,
2022-08-17,0.0,,0.2968,
2022-08-18,0.0,,0.2964,
2022-08-19,0.0,,0.2962,
2022-08-20,0.0,,0.2965,
2022-08-21,0.0,,0.2969,
2022-08-22,0.0,,0.2965,
2022-08-23,0.0,,0.2984,
2022-08-24,0.0,,0.2936,
2022-08-25,0.0,,0.2923,
2022-08-26,0.0,,0.2891,
2022-08-27,0.0,,0.2881,
2022-08-28,0.0,,0.286,
2022-08-29,0.0,,0.2882,
2022-08-30,0.0,,0.2879,
2022-08-31,0.0,,0.2879,
2022-09-01,0.0,,0.2868,
2022-09-02,0.0,,0.287,
2022-09-03,0.0,,0.2864,
2022-09-04,0.0,,0.2783,
2022-09-05,0.0,,0.2707,
2022-09-06,0.0,,0.2574,
2022-09-07,0.0,-86.59,0.1255,
2022-09-08,0.0,-30.75,0.125,
2022-09-09,0.0,-20.65,0.125,
2022-09-10,0.0,-21.64,0.125,
2022-09-11,0.0,-27.67,0.125,
2022-09-12,0.0,-31.34,0.125,
2022-09-13,0.0,-30.88,0.125,
2022-09-14,0.0,-29.91,0.125,
2022-09-15,0.0,-29.23,0.12,
2022-09-16,0.0,-26.74,0.115,
2022-09-17,0.0,-24.46,0.11,
2022-09-18,0.0,-22.85,0.105,
2022-09-19,0.0,-21.46,0.1,
2022-09-20,0.0,-20.77,0.095,
2022-09-21,0.0,-20.71,0.09,
2022-09-22,0.0,-22.04,0.085,
2022-09-23,0.0,-21.96,0.08,
2022-09-24,0.0,-21.84,0.075,
2022-09-25,0.0,-21.97,0.07,
2022-09-26,0.0,-22.18,0.065,
2022-09-27,0.0,-22.34,0.06,
2022-09-28,0.0,-22.84,0.055,
2022-09-29,0.0,-23.53,0.3,
2022-09-30,0.0,-24.2,0.3,
2022-10-01,0.0,-27.96,0.3,
2022-10-02,0.0,-28.27,0.3,
2022-10-03,0.0,-28.36,0.3,
2022-10-04,0.0,-28.47,0.3,
2022-10-05,0.0,-30.03,0.3,
2022-10-06,0.0,-29.38,0.3,
2022-10-07,0.0,-27.95,0.3,
2022-10-08,0.0,-20.29,0.3,0.05
2022-10-09,0.0,-16.34,0.3,0.06
2022-10-10,0.0,-15.74,0.3,0.07
2022-10-11,0.0,-15.88,0.3,0.08
2022-10-12,0.0,-15.27,0.3,0.09
2022-10-13,0.0,-15.44,0.3,0.1
2022-10-14,0.0,-15.15,0.3,0.11
2022-10-15,0.0,-15.24,0.3,0.12
2022-10-16,0.0,-15.24,0.3,0.13
2022-10-17,0.0,-15.77,0.3,0.14
2022-10-18,0.0,-14.96,0.3,0.15
2022-10-19,0.0,-15.0,0.3,0.15
2022-10-20,0.0,-15.37,0.3,0.15
2022-10-21,0.0,-15.07,0.3,0.15
2022-10-22,0.0,-14.84,0.3,0.15
2022-10-23,0.0,-14.77,0.3,0.15
2022-10-24,0.0,-15.21,0.3,0.15
2022-10-25,0.0,-14.88,0.3,0.15
2022-10-26,0.0,-15.2,0.3,0.15
2022-10-27,0.0,-16.08,0.3,0.15
2022-10-28,0.0,-15.41,0.3,0.15
2022-10-29,0.0,-13.99,0.3,0.15
2022-10-30,0.0,-13.99,0.3,0.15
