,Date,countAddresses
0,2020-04-26,12
1,2020-05-11,4
2,2020-05-12,1450
3,2020-05-13,47
4,2020-05-14,51
5,2020-05-15,51
6,2020-05-16,51
7,2020-05-17,51
8,2020-05-18,51
9,2020-05-19,51
10,2020-05-20,369
11,2020-05-21,430
12,2020-05-22,569
13,2020-05-23,573
14,2020-05-24,582
15,2020-05-25,577
16,2020-05-26,576
17,2020-05-27,573
18,2020-05-28,579
19,2020-05-29,576
20,2020-05-30,573
21,2020-05-31,573
22,2020-06-01,573
23,2020-06-02,579
24,2020-06-03,577
25,2020-06-04,583
26,2020-06-05,579
27,2020-06-06,579
28,2020-06-07,580
29,2020-06-08,592
30,2020-06-09,579
31,2020-06-10,771
32,2020-06-11,578
33,2020-06-12,581
34,2020-06-13,572
35,2020-06-14,582
36,2020-06-15,581
37,2020-06-16,576
38,2020-06-17,864
39,2020-06-18,691
40,2020-06-19,663
41,2020-06-20,634
42,2020-06-21,623
43,2020-06-22,613
44,2020-06-23,612
45,2020-06-24,602
46,2020-06-25,600
47,2020-06-26,615
48,2020-06-27,585
49,2020-06-28,598
50,2020-06-29,609
51,2020-06-30,632
52,2020-07-01,611
53,2020-07-02,614
54,2020-07-03,612
55,2020-07-04,595
56,2020-07-05,596
57,2020-07-06,610
58,2020-07-07,589
59,2020-07-08,599
60,2020-07-09,592
61,2020-07-10,597
62,2020-07-11,589
63,2020-07-12,600
64,2020-07-13,593
65,2020-07-14,585
66,2020-07-15,585
67,2020-07-16,628
68,2020-07-17,624
69,2020-07-18,630
70,2020-07-19,599
71,2020-07-20,638
72,2020-07-21,604
73,2020-07-22,611
74,2020-07-23,603
75,2020-07-24,646
76,2020-07-25,624
77,2020-07-26,613
78,2020-07-27,633
79,2020-07-28,621
80,2020-07-29,608
81,2020-07-30,607
82,2020-07-31,625
83,2020-08-01,603
84,2020-08-02,312
85,2020-08-03,410
86,2020-08-04,332
87,2020-08-05,441
88,2020-08-06,844
89,2020-08-07,1120
90,2020-08-08,378
91,2020-08-09,396
92,2020-08-10,365
93,2020-08-11,369
94,2020-08-12,378
95,2020-08-13,389
96,2020-08-14,403
97,2020-08-15,379
98,2020-08-16,360
99,2020-08-17,379
100,2020-08-18,420
101,2020-08-19,410
102,2020-08-20,395
103,2020-08-21,428
104,2020-08-22,397
105,2020-08-23,376
106,2020-08-24,390
107,2020-08-25,377
108,2020-08-26,382
109,2020-08-27,376
110,2020-08-28,380
111,2020-08-29,394
112,2020-08-30,378
113,2020-08-31,397
114,2020-09-01,407
115,2020-09-02,386
116,2020-09-03,364
117,2020-09-04,412
118,2020-09-05,423
119,2020-09-06,363
120,2020-09-07,417
121,2020-09-08,402
122,2020-09-09,370
123,2020-09-10,465
124,2020-09-11,2228
125,2020-09-12,426
126,2020-09-13,406
127,2020-09-14,463
128,2020-09-15,417
129,2020-09-16,413
130,2020-09-17,404
131,2020-09-18,429
132,2020-09-19,365
133,2020-09-20,371
134,2020-09-21,425
135,2020-09-22,437
136,2020-09-23,415
137,2020-09-24,445
138,2020-09-25,420
139,2020-09-26,401
140,2020-09-27,383
141,2020-09-28,381
142,2020-09-29,418
143,2020-09-30,425
144,2020-10-01,426
145,2020-10-02,413
146,2020-10-03,377
147,2020-10-04,360
148,2020-10-05,402
149,2020-10-06,382
150,2020-10-07,533
151,2020-10-08,941
152,2020-10-09,381
153,2020-10-10,384
154,2020-10-11,360
155,2020-10-12,415
156,2020-10-13,371
157,2020-10-14,390
158,2020-10-15,392
159,2020-10-16,474
160,2020-10-17,429
161,2020-10-18,343
162,2020-10-19,368
163,2020-10-20,356
164,2020-10-21,372
165,2020-10-22,373
166,2020-10-23,374
167,2020-10-24,327
168,2020-10-25,351
169,2020-10-26,352
170,2020-10-27,351
171,2020-10-28,333
172,2020-10-29,330
173,2020-10-30,617
174,2020-10-31,612
175,2020-11-01,422
176,2020-11-02,434
177,2020-11-03,412
178,2020-11-04,432
179,2020-11-05,495
180,2020-11-06,571
181,2020-11-07,526
182,2020-11-08,498
183,2020-11-09,466
184,2020-11-10,495
185,2020-11-11,435
186,2020-11-12,433
187,2020-11-13,454
188,2020-11-14,417
189,2020-11-15,438
190,2020-11-16,427
191,2020-11-17,437
192,2020-11-18,466
193,2020-11-19,480
194,2020-11-20,467
195,2020-11-21,422
196,2020-11-22,418
197,2020-11-23,440
198,2020-11-24,463
199,2020-11-25,427
200,2020-11-26,492
201,2020-11-27,429
202,2020-11-28,414
203,2020-11-29,506
204,2020-11-30,2035
205,2020-12-01,2549
206,2020-12-02,1906
207,2020-12-03,2603
208,2020-12-04,2415
209,2020-12-05,1903
210,2020-12-06,2041
211,2020-12-07,2328
212,2020-12-08,3105
213,2020-12-09,6684
214,2020-12-10,6090
215,2020-12-11,5080
216,2020-12-12,5201
217,2020-12-13,5278
218,2020-12-14,6833
219,2020-12-15,8877
220,2020-12-16,12760
221,2020-12-17,13932
222,2020-12-18,12462
223,2020-12-19,12354
224,2020-12-20,12434
225,2020-12-21,16006
226,2020-12-22,15565
227,2020-12-23,15306
228,2020-12-24,12304
229,2020-12-25,14798
230,2020-12-26,16513
231,2020-12-27,18347
232,2020-12-28,15991
233,2020-12-29,16594
234,2020-12-30,16449
235,2020-12-31,12320
236,2021-01-01,12249
237,2021-01-02,15267
238,2021-01-03,15143
239,2021-01-04,15977
240,2021-01-05,15179
241,2021-01-06,15300
242,2021-01-07,14044
243,2021-01-08,12721
244,2021-01-09,12447
245,2021-01-10,9883
246,2021-01-11,11622
247,2021-01-12,11814
248,2021-01-13,12080
249,2021-01-14,10950
250,2021-01-15,10124
251,2021-01-16,11528
252,2021-01-17,10516
253,2021-01-18,10612
254,2021-01-19,11255
255,2021-01-20,10649
256,2021-01-21,11097
257,2021-01-22,7935
258,2021-01-23,4674
259,2021-01-24,7189
260,2021-01-25,6324
261,2021-01-26,5868
262,2021-01-27,6337
263,2021-01-28,5969
264,2021-01-29,5524
265,2021-01-30,6642
266,2021-01-31,7634
267,2021-02-01,8080
268,2021-02-02,8138
269,2021-02-03,7531
270,2021-02-04,7684
271,2021-02-05,6575
272,2021-02-06,7927
273,2021-02-07,8063
274,2021-02-08,8002
275,2021-02-09,8206
276,2021-02-10,7997
277,2021-02-11,7553
278,2021-02-12,7112
279,2021-02-13,6427
280,2021-02-14,6581
281,2021-02-15,6843
282,2021-02-16,6660
283,2021-02-17,6967
284,2021-02-18,6385
285,2021-02-19,6247
286,2021-02-20,6797
287,2021-02-21,6449
288,2021-02-22,6505
289,2021-02-23,6423
290,2021-02-24,6023
291,2021-02-25,6096
292,2021-02-26,5618
293,2021-02-27,5833
294,2021-02-28,2658
